OBJECTID,Oceans,Regions,SubRegions,Sampling Method,Measurement,Unit,Density Range,Density Class,Short Reference,Long Reference,DOI,Organization,Keywords,Accession Number,Accession Link,Latitude,Longitude,Date,GlobalID,x,y
13683,Atlantic Ocean,,,Manta net,0.801442,pieces/m3,0.005-1,Medium,Faure et al.2015,"Faure, F., C. Saini, G. Potter, F. Galgani, L.F. de Alencastro, P. Hagmann. 2015. An evaluation of surface micro- and mesoplastic pollution in pelagic ecosystems of the Western Mediterranean Sea. Environmental Science and Pollution Research 22:12190-12197. https://doi.org/10.1007/s11356-015-4453-3",https://doi.org/10.1007/s11356-015-4453-3,"Oceaneye Association,  Switzerland",Oceaneye Association; Citizen Science,276422,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276422,37.070333,-9.014833,8/7/2019 12:00:00 AM,7102eae8-fefc-413a-b5dc-203227b35416,-9.01483299999995,37.0703330000001
13165,Atlantic Ocean,,,Manta net,0.782937,pieces/m3,0.005-1,Medium,Faure et al.2015,"Faure, F., C. Saini, G. Potter, F. Galgani, L.F. de Alencastro, P. Hagmann. 2015. An evaluation of surface micro- and mesoplastic pollution in pelagic ecosystems of the Western Mediterranean Sea. Environmental Science and Pollution Research 22:12190-12197. https://doi.org/10.1007/s11356-015-4453-3",https://doi.org/10.1007/s11356-015-4453-3,"Oceaneye Association,  Switzerland",Oceaneye Association; Citizen Science,276422,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276422,37.48095,-17.852117,10/10/2013 12:00:00 AM,02e1b1a6-b618-48a4-a9f2-1c907dcd1ad6,-17.852117,37.4809500000001
13829,Atlantic Ocean,,,Manta net,0.003562,pieces/m3,0.0005-0.005,Low,Faure et al.2015,"Faure, F., C. Saini, G. Potter, F. Galgani, L.F. de Alencastro, P. Hagmann. 2015. An evaluation of surface micro- and mesoplastic pollution in pelagic ecosystems of the Western Mediterranean Sea. Environmental Science and Pollution Research 22:12190-12197. https://doi.org/10.1007/s11356-015-4453-3",https://doi.org/10.1007/s11356-015-4453-3,"Oceaneye Association,  Switzerland",Oceaneye Association; Citizen Science,276422,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276422,15.927167,-44.325,12/23/2020 12:00:00 AM,62efb619-a687-4899-a94f-ca33f35a2c11,-44.3249999999999,15.9271670000001
13591,Atlantic Ocean,,,Manta net,0.086895,pieces/m3,0.005-1,Medium,Faure et al.2015,"Faure, F., C. Saini, G. Potter, F. Galgani, L.F. de Alencastro, P. Hagmann. 2015. An evaluation of surface micro- and mesoplastic pollution in pelagic ecosystems of the Western Mediterranean Sea. Environmental Science and Pollution Research 22:12190-12197. https://doi.org/10.1007/s11356-015-4453-3",https://doi.org/10.1007/s11356-015-4453-3,"Oceaneye Association,  Switzerland",Oceaneye Association; Citizen Science,276422,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276422,42.134833,-8.8805,7/19/2019 12:00:00 AM,70316eb9-6e60-4b94-8f5b-8fda917cf916,-8.88049999999993,42.1348330000001
13142,Atlantic Ocean,,,Manta net,0.196706,pieces/m3,0.005-1,Medium,Faure et al.2015,"Faure, F., C. Saini, G. Potter, F. Galgani, L.F. de Alencastro, P. Hagmann. 2015. An evaluation of surface micro- and mesoplastic pollution in pelagic ecosystems of the Western Mediterranean Sea. Environmental Science and Pollution Research 22:12190-12197. https://doi.org/10.1007/s11356-015-4453-3",https://doi.org/10.1007/s11356-015-4453-3,"Oceaneye Association,  Switzerland",Oceaneye Association; Citizen Science,276422,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276422,28.551183,-16.03465,9/5/2013 12:00:00 AM,f47e7eec-a1a5-492d-b7b5-6f09f9290e4e,-16.0346499999999,28.551183
12973,Atlantic Ocean,,,Manta net,0.15963,pieces/m3,0.005-1,Medium,Egger et al.2022,"Egger, M., B. Schilt, H. Wolter, T. Mani, R. de Vries, E. Zettler, H. Niemann. 2022. Pelagic distribution of plastic debris (> 500 μm) and marine organisms in the upper layer of the North Atlantic Ocean. Scientific Reports 12, 13465. https://doi.org/10.1038/s41598-022-17742-7",https://doi.org/10.1038/s41598-022-17742-7,"The Ocean Cleanup, Rotterdam, The Netherlands",The Ocean Cleanup Foundation,276265,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276265,37.451077,-38.838675,11/14/2020 12:00:00 AM,8a70c160-6523-49c7-84e5-7bb8e454fd38,-38.838675,37.4510770000001
13737,Atlantic Ocean,,,Manta net,0.160229,pieces/m3,0.005-1,Medium,Faure et al.2015,"Faure, F., C. Saini, G. Potter, F. Galgani, L.F. de Alencastro, P. Hagmann. 2015. An evaluation of surface micro- and mesoplastic pollution in pelagic ecosystems of the Western Mediterranean Sea. Environmental Science and Pollution Research 22:12190-12197. https://doi.org/10.1007/s11356-015-4453-3",https://doi.org/10.1007/s11356-015-4453-3,"Oceaneye Association,  Switzerland",Oceaneye Association; Citizen Science,276422,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276422,43.420333,-8.306167,9/2/2020 12:00:00 AM,d47c4193-ee4e-4321-bd7f-1987abd8cc79,-8.30616699999996,43.420333
12967,Atlantic Ocean,,,Manta net,0.897001,pieces/m3,0.005-1,Medium,Egger et al.2022,"Egger, M., B. Schilt, H. Wolter, T. Mani, R. de Vries, E. Zettler, H. Niemann. 2022. Pelagic distribution of plastic debris (> 500 μm) and marine organisms in the upper layer of the North Atlantic Ocean. Scientific Reports 12, 13465. https://doi.org/10.1038/s41598-022-17742-7",https://doi.org/10.1038/s41598-022-17742-7,"The Ocean Cleanup, Rotterdam, The Netherlands",The Ocean Cleanup Foundation,276265,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276265,29.830845,-37.228385,11/10/2020 12:00:00 AM,fb804bf0-eda8-4ebb-a1b5-0893b8e53bc3,-37.2283849999999,29.8308450000001
13159,Atlantic Ocean,,,Manta net,0.989921,pieces/m3,0.005-1,Medium,Faure et al.2015,"Faure, F., C. Saini, G. Potter, F. Galgani, L.F. de Alencastro, P. Hagmann. 2015. An evaluation of surface micro- and mesoplastic pollution in pelagic ecosystems of the Western Mediterranean Sea. Environmental Science and Pollution Research 22:12190-12197. https://doi.org/10.1007/s11356-015-4453-3",https://doi.org/10.1007/s11356-015-4453-3,"Oceaneye Association,  Switzerland",Oceaneye Association; Citizen Science,276422,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276422,37.623333,-24.34,10/7/2013 12:00:00 AM,db61807d-6539-4389-a1ac-9287c8e018bc,-24.34,37.6233330000001
13153,Atlantic Ocean,,,Manta net,0.824934,pieces/m3,0.005-1,Medium,Faure et al.2015,"Faure, F., C. Saini, G. Potter, F. Galgani, L.F. de Alencastro, P. Hagmann. 2015. An evaluation of surface micro- and mesoplastic pollution in pelagic ecosystems of the Western Mediterranean Sea. Environmental Science and Pollution Research 22:12190-12197. https://doi.org/10.1007/s11356-015-4453-3",https://doi.org/10.1007/s11356-015-4453-3,"Oceaneye Association,  Switzerland",Oceaneye Association; Citizen Science,276422,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276422,34.913333,-27.57,9/18/2013 12:00:00 AM,ab2da63e-140c-4963-9f8b-5991919193a1,-27.5699999999999,34.9133330000001
21958,Atlantic Ocean,Caribbean Sea,,Manta net,1.34,pieces/m3,1-10,High,"Rose and Webber, 2019","Rose, D., M. Webber. 2019. Characterization of microplastics in the surface waters of Kingston Harbour. Science of the Total Environment 664 (2019) 753-760. https://doi.org/10.1016/j.scitotenv.2019.01.319",https://doi.org/10.1016/j.scitotenv.2019.01.319,"University of the West Indies, Mona, Jamaica","Kingston Harbor, Jamaica ",284765,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:284765,17.94886,-76.82269,11/16/2017 12:00:00 AM,9dae780d-5e4f-407d-b7a3-a2d6c268b223,-76.82269,17.94886
